statistic,player,team,value,year
Batting Average,Joe Mauer,Minnesota,.330,2008
Doubles,Dustin Pedroia,Boston,54,2008
Hits,Dustin Pedroia,Boston,213,2008
Hits,Ichiro Suzuki,Seattle,213,2008
Home Runs,Miguel Cabrera,Detroit,37,2008
On Base Percentage,Milton Bradley,Texas,.436,2008
RBI,Josh Hamilton,Texas,130,2008
Runs,Dustin Pedroia,Boston,118,2008
Slugging Average,Alex Rodriguez,New York,.573,2008
Stolen Bases,Jacoby Ellsbury,Boston,50,2008
Total Bases,Josh Hamilton,Texas,331,2008
Triples,Curtis Granderson,Detroit,13,2008
Complete Games,Roy Halladay,Toronto,9,2008
ERA,Cliff Lee,Cleveland,2.54,2008
Games,Matt Guerrier,Minnesota,76,2008
Games,Francisco Rodriguez,Los Angeles,76,2008
Saves,Francisco Rodriguez,Los Angeles,62,2008
Shutouts,Matt Garza,Tampa Bay,2,2008
Shutouts,Roy Halladay,Toronto,2,2008
Shutouts,Cliff Lee,Cleveland,2,2008
Shutouts,Jon Lester,Boston,2,2008
Shutouts,Jesse Litsch,Toronto,2,2008
Shutouts,CC Sabathia,Cleveland,2,2008
Shutouts,James Shields,Tampa Bay,2,2008
Shutouts,Kevin Slowey,Minnesota,2,2008
Strikeouts,A.J. Burnett,Toronto,231,2008
Winning Percentage,Cliff Lee,Cleveland,.880,2008
Wins,Cliff Lee,Cleveland,22,2008
Base on Balls,Chone Figgins,Los Angeles,101,2009
Batting Average,Joe Mauer,Minnesota,.365,2009
Doubles,Brian Roberts,Baltimore,56,2009
Hits,Ichiro Suzuki,Seattle,225,2009
Home Runs,Carlos Pena,Tampa Bay,39,2009
Home Runs,Mark Teixeira,New York,39,2009
On Base Percentage,Joe Mauer,Minnesota,.444,2009
RBI,Mark Teixeira,New York,122,2009
Runs,DustinPedroia,Boston,115,2009
Slugging Average,Joe Mauer,Minnesota,.587,2009
Stolen Bases,Jacoby Ellsbury,Boston,70,2009
Total Bases,Mark Teixeira,New York,344,2009
Triples,Jacoby Ellsbury,Boston,10,2009
Triples,Denard Span,Minnesota,10,2009
Complete Games,Roy Halladay,Toronto,9,2009
ERA,Zack Greinke,Kansas City,2.16,2009
Games,Matt Guerrier,Minnesota,79,2009
Saves,Brian Fuentes,Los Angeles,48,2009
Shutouts,Roy Halladay,Toronto,4,2009
Strikeouts,Justin Verlander,Detroit,269,2009
Winning Percentage,Felix Hernandez,Seattle,.792,2009
Wins,Felix Hernandez,Seattle,19,2009
Wins,C.C. Sabathia,New York,19,2009
Wins,Justin Verlander,Detroit,19,2009
Base on Balls,Daric Barton,Oakland,110,2010
Batting Average,Josh Hamilton,Texas,.359,2010
Doubles,Adrian Beltre,Boston,49,2010
Hits,Ichiro Suzuki,Seattle,214,2010
Home Runs,Jose Bautista,Toronto,54,2010
On Base Percentage,Miguel Cabrera,Detroit,.420,2010
RBI,Miguel Cabrera,Detroit,126,2010
Runs,Mark Teixeira,New York,113,2010
Slugging Average,Josh Hamilton,Texas,.633,2010
Stolen Bases,Juan Pierre,Chicago,68,2010
Total Bases,Jose Bautista,Toronto,351,2010
Triples,Carl Crawford,Tampa Bay,13,2010
Complete Games,Cliff Lee,Seattle / Texas,7,2010
Complete Games,Carl Pavano,Minnesota,7,2010
ERA,Felix Hernandez,Seattle,2.27,2010
Games,Randy Choate,Tampa Bay,85,2010
Saves,Rafael Soriano,Tampa Bay,45,2010
Shutouts,Dallas Braden,Oakland,2,2010
Shutouts,Carl Pavano,Minnesota,2,2010
Strikeouts,Jered Weaver,Los Angeles,233,2010
Winning Percentage,Tommy Hunter,Texas,.765,2010
Wins,C.C. Sabathia,New York,21,2010
Base on Balls,Jose Bautista,Toronto,132,2011
Batting Average,Miguel Cabrera,Detroit,.344,2011
Doubles,Miguel Cabrera,Detroit,48,2011
Hits,Adrian Gonzalez,Boston,213,2011
Hits,Michael Young,Texas,213,2011
Home Runs,Jose Bautista,Toronto,43,2011
On Base Percentage,Miguel Cabrera,Detroit,.448,2011
RBI,Curtis Granderson,New York,119,2011
Runs,Curtis Granderson,New York,136,2011
Slugging Average,Jose Bautista,Toronto,.608,2011
Stolen Bases,Coco Crisp,Oakland,49,2011
Stolen Bases,Brett Gardner,New York,49,2011
Total Bases,Jacoby Ellsbury,Boston,364,2011
Triples,Peter Bourjos,Los Angeles,11,2011
Triples,Austin Jackson,Detroit,11,2011
Complete Games,James Shields,Tampa Bay,11,2011
ERA,Justin Verlander,Detroit,2.40,2011
Games,Jose Valverde,Detroit,75,2011
Saves,Jose Valverde,Detroit,49,2011
Shutouts,Derek Holland,Texas,4,2011
Shutouts,James Shields,Tampa Bay,4,2011
Strikeouts,Justin Verlander,Detroit,250,2011
Winning Percentage,Justin Verlander,Detroit,.828,2011
Wins,Justin Verlander,Detroit,24,2011
Base on Balls,Adam Dunn,Chicago,105,2012
