statistic,player,team,value,year
Slugging Average,Manny Ramirez,Cleveland,.663,1999
Stolen Bases,Brian Hunter,Seattle,44,1999
Total Bases,Shawn Green,Toronto,361,1999
Triples,Jose Offerman,Boston,11,1999
Statistic,Name,Team,#,1999
1999 American League Pitcher Review ← 1998 | 1999 Pitching Statistics League Leaders | 2000 →,1999 American League Pitcher Review ← 1998 | 1999 Pitching Statistics League Leaders | 2000 →,1999 American League Pitcher Review ← 1998 | 1999 Pitching Statistics League Leaders | 2000 →,1999 American League Pitcher Review ← 1998 | 1999 Pitching Statistics League Leaders | 2000 →,1999
Statistic,Name,Team,#,1999
Complete Games,David Wells,Toronto,7,1999
ERA,Pedro Martinez,Boston,2.07,1999
Games,Buddy Groom,Oakland,76,1999
Games,Bob Wells,Minnesota,76,1999
Saves,Mariano Rivera,New York,45,1999
Shutouts,Scott Erickson,Baltimore,3,1999
Strikeouts,Pedro Martinez,Boston,313,1999
Winning Percentage,Pedro Martinez,Boston,.852,1999
Wins,Pedro Martinez,Boston,23,1999
Statistic,Name,Team,#,1999
1999 American League Team Standings,1999 American League Team Standings,1999 American League Team Standings,1999 American League Team Standings,1999
East,Team [Click for roster],Wins,Losses,1999
East,New York Yankees,98,64,1999
East,Boston Red Sox,94,68,1999
East,Toronto Blue Jays,84,78,1999
East,Baltimore Orioles,78,84,1999
East,Tampa Bay Devil Rays,69,93,1999
Central,Team [Click for roster],Wins,Losses,1999
Central,Cleveland Indians,97,65,1999
Central,Chicago White Sox,75,86,1999
Central,Detroit Tigers,69,92,1999
Central,Kansas City Royals,64,97,1999
Central,Minnesota Twins,63,97,1999
West,Team [Click for roster],Wins,Losses,1999
West,Texas Rangers,95,67,1999
West,Oakland Athletics,87,75,1999
West,Seattle Mariners,79,83,1999
West,Anaheim Angels,70,92,1999
American League Team Standings,American League Team Standings,American League Team Standings,,1999
2000 American League Player Review ← 1999 | 2000 Hitting Statistics League Leaders | 2001 →,2000 American League Player Review ← 1999 | 2000 Hitting Statistics League Leaders | 2001 →,2000 American League Player Review ← 1999 | 2000 Hitting Statistics League Leaders | 2001 →,2000 American League Player Review ← 1999 | 2000 Hitting Statistics League Leaders | 2001 →,2000
Statistic,Name,Team,#,2000
Base on Balls,Jason Giambi,Oakland,137,2000
Batting Average,Nomar Garciaparra,Boston,.372,2000
Doubles,Carlos Delgado,Toronto,57,2000
Hits,Darin Erstad,Anaheim,240,2000
